gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,tenure_fee_interaction
Male,68,Bangladesh,London,SME,22,Web,Monthly,26,7,11.76237198882082,5,0.06,7,30,PayPal,1,Yes,No,4,13.354359704932143,Service,4.0,0,0.71,0.4,27,Satisfied,1,0,660
Female,57,Canada,Sydney,Individual,9,Mobile,Monthly,7,5,26.84638960973137,1,-0.28,2,30,Card,1,No,Yes,1,25.14008841258968,Billing,2.0,0,0.78,0.33,-19,Neutral,2,1,270
Male,24,Germany,New York,SME,58,Web,Yearly,19,5,23.38006497233134,6,0.13,23,20,Card,2,No,No,1,27.57292845215133,Service,3.0,0,0.35,0.49,80,Neutral,1,0,1160
Male,49,Australia,Dhaka,Individual,19,Mobile,Yearly,34,7,24.243136266362708,2,-0.17,24,30,Bank Transfer,0,Yes,No,3,26.420822304921717,Technical,5.0,1,0.83,0.15,100,Neutral,0,0,570
Male,65,Bangladesh,Delhi,Individual,52,Web,Monthly,20,6,18.87232291164992,2,-0.16,2,50,PayPal,0,No,No,0,26.674579176744228,Technical,4.0,0,0.65,0.44,21,Unsatisfied,1,0,2600
Female,36,India,London,Individual,54,Mobile,Monthly,1,3,20.93823726581249,2,-0.15,20,50,Card,0,No,No,0,36.03839117141806,Technical,4.0,1,0.83,0.05,-40,Neutral,1,0,2700
Male,23,India,Toronto,SME,54,Mobile,Monthly,21,4,17.544416359634237,6,0.23,13,20,Card,0,No,No,1,36.89292842033735,Billing,4.0,0,0.75,0.46,-3,Neutral,1,0,1080
Male,37,Bangladesh,Sydney,Individual,7,Referral,Yearly,17,7,26.18874573958236,8,0.22,7,20,Card,0,Yes,No,2,25.02413250808525,Technical,4.0,1,0.54,0.13,28,Satisfied,1,0,140
Male,44,India,Delhi,SME,15,Referral,Monthly,29,4,1.0,6,-0.1,13,30,PayPal,0,No,No,1,32.46553558480596,Technical,2.0,0,0.85,0.13,-24,Satisfied,0,0,450
Female,70,Bangladesh,Berlin,Individual,17,Mobile,Monthly,18,5,7.338150078144248,3,0.27,0,30,PayPal,0,No,No,1,42.98619185872065,Billing,4.0,0,0.72,0.13,17,Neutral,1,0,510
Male,60,Australia,New York,Individual,46,Referral,Yearly,31,6,4.6509676714748736,7,0.26,27,30,Bank Transfer,1,No,No,2,11.368769460848384,Service,5.0,0,0.41,0.18,18,Neutral,1,0,1380
