feature,importance
is_happy_customer,0.12393757540478581
tenure_months,0.061674363569882255
high_risk_flags45,0.06037188551783242
monthly_logins,0.05000432498328632
avg_resolution_time,0.0369306637882958
email_open_rate,0.03442762107748879
payment_failures,0.033734157619727895
avg_session_time,0.03280646788681777
nps_score,0.03207852466484732
usage_growth_rate,0.023921889848310292
activity_ratio,0.023088842797918056
usage_trend,0.021480399971708856
age,0.02081446824807275
marketing_click_rate,0.020052642456293342
contract_type,0.01692701059086886
referral_tenure,0.0165872126774165
last_login_days_ago,0.01356182800930652
tenure_fee_interaction,0.01241908325125466
avg_monthly_usage,0.011437614030723086
high_risk_flags10,0.011341276632513655
gender_Male,0.010620075161088014
high_risk_flags5,0.010461730684468823
charge_increase,0.010155418891675882
support_tickets,0.008324136872805556
customer_segment,0.00736326668447793
referral_count,0.0062443408630429515
signup_channel_Web,0.005455660119356227
signup_channel_Mobile,0.005393727750576357
total_revenue,0.005347240603812521
features_used_Medium,0.005258340259968595
"tenure_group_(36, 52]",0.005241651571647046
weekly_active_days,0.005060926274477534
survey_response,0.004959070023961245
features_used_Few,0.004349690788237535
city_Berlin,0.0031166048119109107
country_Germany,0.0031012032575569535
loyal_monthly_customer,0.0029207250469116867
csat_score,0.0028726776255721927
monthly_fee,0.002840142774249374
"tenure_group_(24, 36]",0.0028017290681252856
escalations,0.002762343815576591
country_Bangladesh,0.0026192351942539924
country_Canada,0.0025893236032039834
payment_method_Bank Transfer,0.0024353304996593
city_Delhi,0.0023771691191097353
city_Dhaka,0.0023564780271134373
price_increase_last_3m_Yes,0.0021196931458144145
payment_method_PayPal,0.002116094460929792
country_USA,0.0018517747217681535
country_India,0.0017543236114952025
city_Sydney,0.0015528332157426585
high_risk_flags40,0.0015208916875286754
country_Australia,0.001450830618892752
signup_channel_Referral,0.0013083353360877274
country_UK,0.001303009368640312
complaint_type_Service,0.0012963158063200458
discount_applied_No,0.0012618876134151517
no_referrals,0.001195514237463062
city_Toronto,0.0011500801220075923
complaint_type_Billing,0.0010896765856916338
city_New York,0.0008188572565997912
high_escalations,0.0008131240931064305
city_London,0.0007976347778381735
gender_Female,0.0005731719269242616
auto_payment,0.0005611575379372878
negative_customer,0.00044394820348193036
not_happy_customer,0.00042925503174479014
high_referral_customer,0.0003937417462106633
payment_method_Card,0.0003579458513771611
discount_applied_Yes,0.00026737861931670147
high_risk_flags18,0.0002554208549280663
complaint_type_Technical,0.00022868992668088095
features_used_Many,0.00021991738874470014
high_risk_flags17,0.00018775923111589404
high_fee_customer,0.0001552052659384957
high_risk_flags13,7.453492301395735e-05
is_new_customer,6.198688185664286e-05
high_risk_flags22,4.03428504762949e-05
high_risk_flags43,3.9463237949915344e-05
tickets_support,3.9235788143286176e-05
high_risk_flags44,3.3028848558482286e-05
high_risk_flags41,7.875102479848461e-19
"tenure_group_(0, 4]",0.0
high_risk_flags1,0.0
high_risk_flags2,0.0
high_risk_flags9,0.0
price_increase_last_3m_No,0.0
is_loyal_customer,0.0
has_referrals,0.0
high_risk_flags6,0.0
budget_customer,0.0
"tenure_group_(52, 59]",0.0
"tenure_group_(4, 24]",0.0
high_risk_flags16,0.0
high_risk_flags15,0.0
high_risk_flags14,0.0
high_risk_flags12,0.0
high_risk_flags11,0.0
high_risk_flags7,0.0
high_risk_flags8,0.0
high_risk_flags20,0.0
high_risk_flags26,0.0
high_risk_flags27,0.0
high_risk_flags28,0.0
high_risk_flags19,0.0
high_risk_flags21,0.0
high_risk_flags23,0.0
high_risk_flags24,0.0
high_risk_flags25,0.0
high_risk_flags33,0.0
high_risk_flags32,0.0
high_risk_flags31,0.0
high_risk_flags30,0.0
high_risk_flags29,0.0
high_risk_flags37,0.0
high_risk_flags34,0.0
high_risk_flags35,0.0
high_risk_flags42,0.0
high_risk_flags39,0.0
high_risk_flags36,0.0
high_risk_flags46,0.0
high_risk_flags47,0.0
high_risk_flags48,0.0
high_risk_flags49,0.0
high_risk_flags50,0.0
high_risk_flags51,0.0
high_risk_flags52,0.0
high_risk_flags53,0.0
high_risk_flags54,0.0
high_risk_flags55,0.0
high_risk_flags56,0.0
high_risk_flags57,0.0
high_risk_flags58,0.0
high_risk_flags59,0.0
high_risk_flags60,0.0
high_risk_flags61,0.0
high_risk_flags62,0.0
high_risk_flags63,0.0
high_risk_flags64,0.0
high_risk_flags65,0.0
high_risk_flags66,0.0
high_risk_flags67,0.0
high_risk_flags68,0.0
high_risk_flags69,0.0
high_risk_flags70,0.0
high_risk_flags71,0.0
high_risk_flags72,0.0
high_risk_flags73,0.0
high_risk_flags74,0.0
high_risk_flags75,0.0
high_risk_flags76,0.0
low_monthly_logins,0.0
low_logins_csat,0.0
high_charge_increase,0.0
low_total_revenue,0.0
low_usage_csat,0.0
charge_shocks,0.0
