Feature,Score
age,0.4760820179933607
email_open_rate,0.46785915936878086
marketing_click_rate,0.4653793241394317
usage_growth_rate,0.45848757650759
nps_score,0.44572930038623726
monthly_logins,0.44128992631893893
tenure_months,0.43788899670468706
last_login_days_ago,0.4241156424943586
tenure_fee_interaction,0.4091162592780695
total_revenue,0.4090198461748291
charge_increase,0.40784702799766515
activity_ratio,0.4048023765515356
charge_shocks,0.4046895764303844
avg_monthly_usage,0.40073715579194213
weekly_active_days,0.3611085448169966
usage_trend,0.2986322510535204
referral_tenure,0.28186144664064816
support_tickets,0.26916593504920283
monthly_fee,0.20318695631944061
signup_channel_Web,0.17088801808401866
csat_score,0.1619346418771359
complaint_type_Technical,0.15518698397659003
signup_channel_Mobile,0.1520627980393785
payment_failures,0.14837439073404357
discount_applied_No,0.13529114503072082
referral_count,0.13055398259694928
discount_applied_Yes,0.13012763961335172
payment_method_Card,0.12390566931899394
features_used_Medium,0.1185716748444321
features_used_Few,0.1184898333204567
signup_channel_Referral,0.11648903327961335
price_increase_last_3m_No,0.1120450753363218
complaint_type_Billing,0.10990427029370653
price_increase_last_3m_Yes,0.10771724696715879
escalations,0.10263028397565677
complaint_type_Service,0.10064665398132688
city_New York,0.09393728907761689
city_Sydney,0.09151408882480716
city_London,0.08925079051665863
payment_method_Bank Transfer,0.08865312415612903
city_Dhaka,0.08823563815711721
"tenure_group_(36, 52]",0.08638690930565485
negative_customer,0.08458499422490307
city_Toronto,0.08331152035451139
city_Delhi,0.08153433977813584
payment_method_PayPal,0.07571729484671685
auto_payment,0.06966733256949675
"tenure_group_(24, 36]",0.0652386380941794
budget_customer,0.06172024231891604
"tenure_group_(4, 24]",0.05650510809421094
not_happy_customer,0.05109396044343484
is_happy_customer,0.04926866800917229
high_risk_flags11,0.04777636314329481
has_referrals,0.04356039877327933
no_referrals,0.04305734036647069
"tenure_group_(52, 59]",0.03834793921974389
loyal_monthly_customer,0.03456848340736629
is_loyal_customer,0.033801752587014455
is_new_customer,0.029950799295300756
"tenure_group_(0, 4]",0.02841452927891641
high_risk_flags16,0.027230143291358422
low_monthly_logins,0.023412692219886067
low_total_revenue,0.018060070224334535
high_risk_flags6,0.01426012283961664
avg_session_time,0.013804089075023507
high_fee_customer,0.013321952588563724
high_risk_flags37,0.013140603894931324
low_logins_csat,0.012345959448679444
high_risk_flags13,0.012045820782534467
avg_resolution_time,0.010915580559736071
high_risk_flags18,0.010807357797882444
high_risk_flags19,0.01046668204092871
high_risk_flags15,0.00995877223356234
high_risk_flags49,0.009864658371607549
high_risk_flags5,0.009686008062904872
high_risk_flags33,0.009193537731617907
high_risk_flags14,0.008771953319315573
high_risk_flags30,0.008481268914047213
high_risk_flags36,0.00846350873121482
high_risk_flags56,0.007643763607837251
high_risk_flags2,0.0072775159796003575
high_charge_increase,0.007212471281608179
features_used_Many,0.007174165751691941
high_risk_flags7,0.006934383977026171
high_referral_customer,0.00692543991959127
high_risk_flags66,0.006565244965790695
high_risk_flags69,0.006371059118351008
high_risk_flags57,0.0060764748737591745
high_risk_flags12,0.005901652670596391
high_risk_flags1,0.005844814977053581
high_risk_flags20,0.005761160011071187
high_risk_flags39,0.005741999710184409
high_risk_flags53,0.005598913122093929
high_risk_flags61,0.005137923153291757
high_risk_flags40,0.005124668262913135
high_risk_flags63,0.004941368620455355
high_risk_flags48,0.004205097392735668
customer_segment,0.004147546983607642
city_Berlin,0.004107041734161765
high_risk_flags67,0.0038964008814275086
high_risk_flags27,0.0037265918831717038
high_risk_flags17,0.003659484840549343
high_risk_flags21,0.0035759700252857574
high_risk_flags23,0.0034930847898395623
high_risk_flags24,0.003424540057150427
high_risk_flags8,0.003318651968215125
high_risk_flags64,0.003241261224501857
high_risk_flags59,0.003157500335682961
high_risk_flags76,0.00274324488404587
high_risk_flags43,0.0027271489600892984
high_risk_flags29,0.0026681410563891284
high_risk_flags68,0.0024484747201500845
high_risk_flags50,0.0022205806679209683
country_UK,0.0022181452121252665
country_USA,0.002150904705273682
low_usage_csat,0.0020792178562090147
country_Canada,0.0018276026571764081
high_risk_flags9,0.0014773082897603373
high_risk_flags34,0.0014229266275269659
high_risk_flags73,0.0012341708600460688
country_Germany,0.001218944110211062
country_India,0.0009428274413385562
high_risk_flags75,0.0009192222245040238
high_risk_flags32,0.0008904949865027323
high_escalations,0.0007769592465265429
high_risk_flags54,0.0006971522383223405
high_risk_flags55,0.0006154142706569221
high_risk_flags71,0.00041606289839446475
high_risk_flags74,0.000290807428501072
high_risk_flags35,0.00016487141222798485
high_risk_flags72,0.00013731015124118784
country_Australia,0.0
country_Bangladesh,0.0
gender_Male,0.0
gender_Female,0.0
survey_response,0.0
contract_type,0.0
high_risk_flags10,0.0
tickets_support,0.0
high_risk_flags22,0.0
high_risk_flags26,0.0
high_risk_flags47,0.0
high_risk_flags44,0.0
high_risk_flags45,0.0
high_risk_flags46,0.0
high_risk_flags41,0.0
high_risk_flags42,0.0
high_risk_flags28,0.0
high_risk_flags31,0.0
high_risk_flags25,0.0
high_risk_flags62,0.0
high_risk_flags65,0.0
high_risk_flags58,0.0
high_risk_flags51,0.0
high_risk_flags52,0.0
high_risk_flags60,0.0
high_risk_flags70,0.0
