feature,coefs
not_happy_customer,0.9084919290198017
"tenure_group_(4, 24]",0.7622082472047144
tenure_months,0.5354264140098721
low_monthly_logins,0.5342976650493468
high_risk_flags27,0.489464482210788
"tenure_group_(24, 36]",0.4477265378629416
"tenure_group_(52, 59]",0.41965316811713876
high_risk_flags2,0.3959087117215168
high_risk_flags16,0.37400096416843215
payment_failures,0.37328925470823426
referral_count,0.3028761775596492
country_USA,0.25376766673067364
high_risk_flags9,0.24718657977098707
high_risk_flags5,0.24391545071461324
high_risk_flags58,0.24037640727545714
city_Toronto,0.2226609033865823
country_Bangladesh,0.21614898349487957
high_risk_flags50,0.20485639999719132
high_risk_flags19,0.20424044288723156
low_logins_csat,0.20382310492249947
high_risk_flags6,0.2011171646826939
city_New York,0.20104211016669396
high_risk_flags14,0.19760105505334072
"tenure_group_(36, 52]",0.19394850958214324
city_Sydney,0.193320208334003
high_risk_flags49,0.18976963773193906
last_login_days_ago,0.18319833280138856
signup_channel_Referral,0.18184671116444473
tickets_support,0.18104050158653606
country_Germany,0.17281512585669492
high_risk_flags25,0.16975462746534725
city_Delhi,0.16575194494683043
activity_ratio,0.148066463500333
high_risk_flags29,0.13626164455668785
loyal_monthly_customer,0.13191307889264173
discount_applied_Yes,0.1205713995321163
high_risk_flags34,0.12040473741826736
high_risk_flags66,0.12040473741826736
charge_increase,0.11227905933137106
monthly_logins,0.11187481098814453
high_risk_flags20,0.10561847713347236
gender_Male,0.10389296621437288
payment_method_Card,0.10317425040314292
low_total_revenue,0.0956929536820438
avg_resolution_time,0.09386934655733274
high_risk_flags17,0.09108202314889113
auto_payment,0.09009098987729003
high_risk_flags45,0.08944362135406514
referral_tenure,0.08676494782489617
usage_trend,0.08326826202521026
features_used_Medium,0.08318723289672915
high_risk_flags48,0.08245833702591135
high_fee_customer,0.08175767822967733
weekly_active_days,0.08117729463299338
high_risk_flags36,0.07734277892542805
high_risk_flags22,0.07523494953560529
country_UK,0.07482482446608381
high_risk_flags70,0.0740241693463754
high_risk_flags39,0.0740241693463754
complaint_type_Service,0.07164954676300066
high_risk_flags44,0.06986749899954084
features_used_Many,0.06841422553990852
high_risk_flags1,0.06528345339328875
high_risk_flags33,0.06528345339328875
high_risk_flags11,0.06274828205861642
customer_segment,0.054648439851679005
signup_channel_Web,0.053937137013847954
high_risk_flags24,0.05230076930241239
no_referrals,0.05223764612004215
has_referrals,0.05223764612003877
high_risk_flags8,0.04620252946114109
high_risk_flags43,0.04383206109077422
is_new_customer,0.04328916477685368
high_risk_flags64,0.04252455566564454
high_risk_flags32,0.04252455566564454
high_risk_flags13,0.04082476303606103
high_risk_flags46,0.04016735722556569
negative_customer,0.03952855360365587
high_risk_flags18,0.039413557436790064
high_risk_flags40,0.039413557436790064
high_risk_flags31,0.03927693551130478
high_risk_flags62,0.03927693551130478
high_risk_flags63,0.03927693551130478
high_risk_flags41,0.029991101677463026
high_risk_flags51,0.029991101677463026
high_risk_flags72,0.029991101677463026
high_risk_flags55,0.029991101677463026
high_charge_increase,0.02971100180064273
complaint_type_Technical,0.028762757640283684
high_risk_flags35,0.026751661732920626
payment_method_PayPal,0.025132930360480876
country_India,0.024520183854341307
high_risk_flags12,0.022072941352752097
csat_score,0.014087322944490088
total_revenue,0.0126875248656075
tenure_fee_interaction,0.0126875248656075
high_risk_flags15,0.008725908263828061
high_escalations,0.0073784929809881765
high_risk_flags37,0.00373488150273358
high_risk_flags69,0.00373488150273358
