feature,importance
not_happy_customer,0.5615892430920908
tenure_months,0.46441519794205793
"tenure_group_(4, 24]",0.33003617103964134
low_monthly_logins,0.3241246065426964
payment_failures,0.30538755481140084
referral_count,0.22999674626452077
high_risk_flags16,0.1645342369194644
"tenure_group_(24, 36]",0.14980482230356165
last_login_days_ago,0.14607599991423342
"tenure_group_(52, 59]",0.09644469109668082
monthly_logins,0.09023597786088774
loyal_monthly_customer,0.08291180179849891
"tenure_group_(36, 52]",0.07810645890764677
avg_resolution_time,0.07584327233477313
high_risk_flags27,0.07530825004275742
auto_payment,0.07306335263848025
weekly_active_days,0.07105424097435997
activity_ratio,0.069570964414452
high_risk_flags5,0.06891273103756937
referral_tenure,0.06690370005595687
low_total_revenue,0.06648082098346254
country_Bangladesh,0.06432161450840625
high_risk_flags2,0.06257860969372568
country_USA,0.06215785228901121
signup_channel_Referral,0.060373108106595644
high_risk_flags49,0.059169440667135004
charge_increase,0.05863507361823654
high_fee_customer,0.056781670683398795
city_Sydney,0.05581637715123502
high_risk_flags9,0.052943907019862395
gender_Male,0.05195583347414572
city_Toronto,0.05106616488719571
no_referrals,0.05099441873307409
has_referrals,0.05099441873307077
payment_method_Card,0.0504589147734131
discount_applied_Yes,0.04953284092728518
city_New York,0.046889051354178035
high_risk_flags20,0.0460517936983522
high_risk_flags66,0.0418276216444124
high_risk_flags34,0.0418276216444124
high_risk_flags19,0.040857477754422875
low_logins_csat,0.04072279614030786
city_Delhi,0.038750318449394756
country_Germany,0.03871490857004607
usage_trend,0.03683479834489248
negative_customer,0.03622887753404793
high_risk_flags11,0.03538469350649571
customer_segment,0.0335653449991005
features_used_Medium,0.032945471716420614
signup_channel_Web,0.026936206224715667
complaint_type_Service,0.02484770456967481
high_risk_flags36,0.023951041941262588
high_risk_flags14,0.021430132881283585
high_risk_flags6,0.02034025886299815
high_risk_flags17,0.01813359580084125
high_risk_flags48,0.017850644052008383
is_new_customer,0.017123428692160898
country_UK,0.016741306226041593
complaint_type_Technical,0.014291207574939553
high_risk_flags18,0.013756788276062502
high_risk_flags40,0.013756788276062502
high_risk_flags46,0.0133033864612141
high_risk_flags33,0.013298761125602385
high_risk_flags1,0.013298761125602385
high_risk_flags13,0.012522772790215431
csat_score,0.011958511204067658
total_revenue,0.009442456144588515
tenure_fee_interaction,0.009442456144588515
payment_method_PayPal,0.008920933631452688
high_risk_flags58,0.008919530026127904
high_risk_flags50,0.008264743325010832
high_risk_flags29,0.008075492104204163
high_risk_flags12,0.006906895915226172
high_risk_flags25,0.006579504931723062
country_India,0.006297151016552663
high_charge_increase,0.005913437072001274
tickets_support,0.004959858622904277
high_risk_flags24,0.003516363000700568
high_risk_flags43,0.003145969941046577
high_risk_flags15,0.0030148553596099866
high_risk_flags8,0.002927966335509678
high_risk_flags70,0.0028690963807782048
high_risk_flags39,0.0028690963807782048
high_risk_flags45,0.002646936288157042
high_escalations,0.002522011862810705
high_risk_flags22,0.0022264541064940515
high_risk_flags44,0.0013532320551340067
high_risk_flags37,0.0011730045344368848
high_risk_flags69,0.0011730045344368848
high_risk_flags63,0.001076046771688176
high_risk_flags62,0.001076046771688176
high_risk_flags31,0.001076046771688176
features_used_Many,0.0008380742628638794
high_risk_flags64,0.0006724563242450253
high_risk_flags32,0.0006724563242450253
high_risk_flags35,0.0005983349438975212
high_risk_flags41,0.0003353316692388901
high_risk_flags55,0.0003353316692388901
high_risk_flags51,0.0003353316692388901
high_risk_flags72,0.0003353316692388901
