feature,importance
is_happy_customer,0.047625126715533185
csat_score,0.0166100435454375
payment_failures,0.01427276834181036
monthly_logins,0.010973955413323591
usage_trend,0.009028850283423458
tenure_months,0.008989790195777853
"tenure_group_(0, 4]",0.007659515911746142
high_risk_flags20,0.006032450388894624
high_risk_flags24,0.005369642448581076
tenure_fee_interaction,0.005342111738453327
charge_increase,0.005324203747933649
total_revenue,0.005177727005783333
high_risk_flags7,0.0049783831111196095
age,0.0043591676280276
nps_score,0.004199749019190674
last_login_days_ago,0.0041534721677936905
avg_session_time,0.0041500961973324445
tickets_support,0.004133214684661527
usage_growth_rate,0.004071355344622641
avg_resolution_time,0.0036380233665784262
avg_monthly_usage,0.003573374648178601
activity_ratio,0.0035724580088781965
marketing_click_rate,0.0034456194048241213
email_open_rate,0.0033052843820617827
weekly_active_days,0.002723213539865374
is_new_customer,0.0023349595330886424
referral_tenure,0.0023239322492475387
high_risk_flags2,0.002317185333386495
support_tickets,0.001918181580170455
survey_response,0.0018503800455987238
signup_channel_Referral,0.0017677612423409883
high_risk_flags5,0.0017592820548460414
country_Germany,0.0017198927608940188
city_New York,0.0016849532308235193
high_risk_flags8,0.001676389456904192
monthly_fee,0.0015807892049431902
high_risk_flags12,0.0015175016110947474
customer_segment,0.0014207472192644065
contract_type,0.0014020602287415764
high_risk_flags15,0.0013669032393426078
referral_count,0.0013539253265925004
escalations,0.0012881531144931146
country_Canada,0.0011891607701409288
country_Australia,0.0011440164458656524
signup_channel_Web,0.0011154105546165374
gender_Female,0.0010684293903879545
features_used_Medium,0.0010571768664627127
gender_Male,0.0010571643792369266
city_Sydney,0.001054140341133956
country_India,0.001049049929725101
loyal_monthly_customer,0.0010435236702651053
has_referrals,0.0010055192311355199
city_London,0.0010053998706170623
city_Toronto,0.0009820031082029223
complaint_type_Technical,0.0009567510278871561
features_used_Few,0.0009380839520554075
payment_method_PayPal,0.0009380650382035007
price_increase_last_3m_Yes,0.000917201442792575
price_increase_last_3m_No,0.0009125506938751327
discount_applied_Yes,0.0009055092058992484
not_happy_customer,0.0008983503832315022
high_fee_customer,0.0008738975169087696
payment_method_Card,0.000871445492369972
high_risk_flags22,0.0008689864113225997
"tenure_group_(4, 24]",0.0008246548176570988
high_risk_flags1,0.000813991651142379
city_Delhi,0.0008099250870026784
signup_channel_Mobile,0.0007972619937967018
complaint_type_Billing,0.0007859000248717558
negative_customer,0.0007748568365725403
auto_payment,0.0007653661482231492
discount_applied_No,0.0007649984934484237
no_referrals,0.0007609385980671473
"tenure_group_(52, 59]",0.0007592610280447077
country_USA,0.0007386623581394296
high_risk_flags10,0.0007342037412150584
city_Dhaka,0.0007282569794715588
country_UK,0.0007231281025011334
country_Bangladesh,0.0007159537374573275
high_risk_flags6,0.0007115048648730184
complaint_type_Service,0.0006943919002214602
payment_method_Bank Transfer,0.0006847076800333437
"tenure_group_(24, 36]",0.0006737148847966877
city_Berlin,0.0006240250785184484
"tenure_group_(36, 52]",0.0005837639108295491
is_loyal_customer,0.0005827006068170761
high_risk_flags9,0.0005191938056350167
high_risk_flags18,0.0004764554633992165
high_risk_flags19,0.0004560924199743155
high_referral_customer,0.00043908063082429005
high_risk_flags17,0.0004266346336759591
features_used_Many,0.0003651410365984974
high_escalations,0.00034631623365753077
high_risk_flags14,0.0003070394087299197
high_risk_flags16,0.00029769535887620496
high_risk_flags13,0.00029233720045702857
budget_customer,0.00022617112453425593
high_risk_flags23,0.0001954302676797962
high_risk_flags11,0.00018065927496356142
high_risk_flags21,0.00015087574571387988
high_risk_flags25,0.0
high_risk_flags26,0.0
high_risk_flags27,0.0
high_risk_flags28,0.0
high_risk_flags29,0.0
high_risk_flags30,0.0
high_risk_flags31,0.0
high_risk_flags32,0.0
high_risk_flags33,0.0
high_risk_flags34,0.0
high_risk_flags35,0.0
high_risk_flags36,0.0
high_risk_flags37,0.0
high_risk_flags39,0.0
high_risk_flags40,0.0
high_risk_flags41,0.0
high_risk_flags42,0.0
high_risk_flags43,0.0
high_risk_flags44,0.0
high_risk_flags45,0.0
high_risk_flags46,0.0
high_risk_flags47,0.0
high_risk_flags48,0.0
high_risk_flags49,0.0
high_risk_flags50,0.0
high_risk_flags51,0.0
high_risk_flags52,0.0
high_risk_flags53,0.0
high_risk_flags54,0.0
high_risk_flags55,0.0
high_risk_flags56,0.0
high_risk_flags57,0.0
high_risk_flags58,0.0
high_risk_flags59,0.0
high_risk_flags60,0.0
high_risk_flags61,0.0
high_risk_flags62,0.0
high_risk_flags63,0.0
high_risk_flags64,0.0
high_risk_flags65,0.0
high_risk_flags66,0.0
high_risk_flags67,0.0
high_risk_flags68,0.0
high_risk_flags69,0.0
high_risk_flags70,0.0
high_risk_flags71,0.0
high_risk_flags72,0.0
high_risk_flags73,0.0
high_risk_flags74,0.0
high_risk_flags75,0.0
high_risk_flags76,0.0
low_monthly_logins,0.0
low_logins_csat,0.0
high_charge_increase,0.0
low_total_revenue,0.0
low_usage_csat,0.0
charge_shocks,0.0
