feature,importance
not_happy_customer,0.41844750943921055
low_monthly_logins,0.11089221529922717
csat_score,0.09790251497851492
high_risk_flags11,0.07129455266296514
payment_failures,0.050660947925089836
high_risk_flags16,0.038223453397956415
is_happy_customer,0.036740435170546225
charge_increase,0.03486543294121196
referral_count,0.031022010712838482
"tenure_group_(4, 24]",0.029241725631698953
monthly_logins,0.024341989568765224
charge_shocks,0.02341941661612349
high_charge_increase,0.020515890401169315
avg_resolution_time,0.020504963727267293
last_login_days_ago,0.01946821665186573
avg_monthly_usage,0.0178314458879395
tenure_months,0.016312437245715194
has_referrals,0.015390238616905819
no_referrals,0.015094830301404181
weekly_active_days,0.014656462133194971
country_Germany,0.013886136563042622
signup_channel_Referral,0.013283844475237958
usage_growth_rate,0.01295999152848051
signup_channel_Web,0.012144949363427351
marketing_click_rate,0.011158932847507502
high_fee_customer,0.010974206076196607
avg_session_time,0.010882042221159027
complaint_type_Technical,0.010443562335827626
nps_score,0.01040510615816527
monthly_fee,0.010219675406039101
email_open_rate,0.01011297945406874
age,0.009770456375512345
high_risk_flags40,0.009752793502326274
"tenure_group_(36, 52]",0.009721810240190497
is_loyal_customer,0.009306913628989168
high_risk_flags15,0.009296187839841758
auto_payment,0.009231511531277716
high_risk_flags18,0.008930875938126496
contract_type,0.008671783131822952
negative_customer,0.008506335904527708
features_used_Medium,0.0082952015717659
customer_segment,0.007776940045011855
total_revenue,0.00739505822554493
tenure_fee_interaction,0.007273913465579523
activity_ratio,0.0071875934351735395
survey_response,0.007014653849812241
is_new_customer,0.006948908984200281
support_tickets,0.00675399439482665
discount_applied_Yes,0.006730973084051997
price_increase_last_3m_No,0.006726634710810256
price_increase_last_3m_Yes,0.006724832256794204
city_Berlin,0.006712624282607227
discount_applied_No,0.006698529948626296
country_Bangladesh,0.006553559247400639
budget_customer,0.00652765815041624
city_Sydney,0.0057460870048694065
"tenure_group_(24, 36]",0.005728985876988418
low_total_revenue,0.0056531951897333295
features_used_Few,0.0055919777607080804
city_London,0.005319308992156269
"tenure_group_(0, 4]",0.005185423610715591
usage_trend,0.0049813541048435
high_referral_customer,0.004823224211158141
complaint_type_Service,0.004673345263070996
referral_tenure,0.004526964717350109
gender_Male,0.004498382183509138
gender_Female,0.0043882397973602225
country_Australia,0.004334856524414154
"tenure_group_(52, 59]",0.00431417358131746
signup_channel_Mobile,0.004268443611658789
payment_method_Card,0.004091278927022281
country_UK,0.0035200636090561826
country_USA,0.0032321652331136334
city_Toronto,0.003031287690206722
escalations,0.0025428722257842635
payment_method_Bank Transfer,0.002521498328086864
city_Dhaka,0.0022293440701833373
complaint_type_Billing,0.0020874574257728593
loyal_monthly_customer,0.001788635339182687
city_Delhi,0.0017819473420626127
payment_method_PayPal,0.0017342947571693356
country_Canada,0.0012143263044751568
country_India,0.001196589840242394
city_New York,0.0005387540360545728
features_used_Many,0.0
high_risk_flags9,0.0
high_risk_flags8,0.0
tickets_support,0.0
high_escalations,0.0
high_risk_flags6,0.0
high_risk_flags1,0.0
high_risk_flags2,0.0
high_risk_flags5,0.0
high_risk_flags17,0.0
high_risk_flags14,0.0
high_risk_flags12,0.0
high_risk_flags13,0.0
high_risk_flags10,0.0
high_risk_flags7,0.0
high_risk_flags20,0.0
high_risk_flags19,0.0
high_risk_flags26,0.0
high_risk_flags27,0.0
high_risk_flags28,0.0
high_risk_flags29,0.0
high_risk_flags22,0.0
high_risk_flags23,0.0
high_risk_flags24,0.0
high_risk_flags21,0.0
high_risk_flags33,0.0
high_risk_flags34,0.0
high_risk_flags36,0.0
high_risk_flags35,0.0
high_risk_flags37,0.0
high_risk_flags39,0.0
high_risk_flags41,0.0
high_risk_flags42,0.0
high_risk_flags43,0.0
high_risk_flags44,0.0
high_risk_flags45,0.0
high_risk_flags46,0.0
high_risk_flags30,0.0
high_risk_flags31,0.0
high_risk_flags32,0.0
high_risk_flags25,0.0
high_risk_flags50,0.0
high_risk_flags49,0.0
high_risk_flags48,0.0
high_risk_flags47,0.0
high_risk_flags51,0.0
high_risk_flags52,0.0
high_risk_flags53,0.0
high_risk_flags54,0.0
high_risk_flags59,0.0
high_risk_flags60,0.0
high_risk_flags61,0.0
high_risk_flags62,0.0
high_risk_flags55,0.0
high_risk_flags56,0.0
high_risk_flags57,0.0
high_risk_flags58,0.0
high_risk_flags66,0.0
high_risk_flags65,0.0
high_risk_flags64,0.0
high_risk_flags63,0.0
high_risk_flags67,0.0
high_risk_flags68,0.0
high_risk_flags69,0.0
high_risk_flags70,0.0
high_risk_flags74,0.0
high_risk_flags73,0.0
high_risk_flags72,0.0
high_risk_flags71,0.0
low_logins_csat,0.0
high_risk_flags76,0.0
high_risk_flags75,0.0
low_usage_csat,0.0
