feature,importance
csat_score,0.41937676
tenure_months,0.2990424
payment_failures,0.25514752
monthly_logins,0.18271177
usage_trend,0.06972927
not_happy_customer,0.048067786
last_login_days_ago,0.042114027
low_monthly_logins,0.035131343
total_revenue,0.030029237
charge_shocks,0.023071643
avg_session_time,0.013800252
nps_score,0.01289736
high_risk_flags11,0.0119736595
age,0.010348907
high_risk_flags5,0.008574429
"tenure_group_(0, 4_",0.008011028
avg_resolution_time,0.007613146
charge_increase,0.007479894
high_risk_flags6,0.007372654
usage_growth_rate,0.007006359
activity_ratio,0.006763527
weekly_active_days,0.0048317593
tenure_fee_interaction,0.0039828457
email_open_rate,0.0039014546
marketing_click_rate,0.003410233
avg_monthly_usage,0.003335277
high_risk_flags12,0.0030732378
customer_segment,0.0024762938
country_Bangladesh,0.002395426
high_risk_flags16,0.0023378357
escalations,0.0021710454
is_happy_customer,0.0018297958
negative_customer,0.001633898
high_risk_flags14,0.0010376041
country_India,0.0006912889
signup_channel_Referral,0.0006767371
country_Canada,0.0006701466
city_Dhaka,0.0006459047
referral_tenure,0.0005702826
monthly_fee,0.0005177659
complaint_type_Service,0.00051285233
support_tickets,0.00047538086
referral_count,0.00041615104
"tenure_group_(36, 52_",0.00034693087
high_risk_flags19,0.00031252662
signup_channel_Web,0.0002701379
features_used_Few,0.00014443496
signup_channel_Mobile,0.00013158823
high_fee_customer,0.0001250129
high_risk_flags18,9.839767e-05
price_increase_last_3m_No,7.542318e-05
city_Berlin,6.875003e-05
payment_method_PayPal,5.599881e-05
city_London,5.5817225e-05
country_UK,4.752897e-05
discount_applied_No,4.6282516e-05
city_Toronto,3.227223e-05
loyal_monthly_customer,2.5785863e-05
country_Australia,0.0
country_Germany,0.0
contract_type,0.0
payment_method_Bank Transfer,0.0
payment_method_Card,0.0
features_used_Many,0.0
features_used_Medium,0.0
city_New York,0.0
city_Delhi,0.0
city_Sydney,0.0
country_USA,0.0
gender_Male,0.0
gender_Female,0.0
survey_response,0.0
complaint_type_Billing,0.0
discount_applied_Yes,0.0
"tenure_group_(24, 36_",0.0
price_increase_last_3m_Yes,0.0
"tenure_group_(4, 24_",0.0
tickets_support,0.0
high_referral_customer,0.0
high_escalations,0.0
is_loyal_customer,0.0
is_new_customer,0.0
auto_payment,0.0
high_risk_flags1,0.0
budget_customer,0.0
high_risk_flags9,0.0
high_risk_flags8,0.0
high_risk_flags7,0.0
high_risk_flags2,0.0
"tenure_group_(52, 59_",0.0
complaint_type_Technical,0.0
has_referrals,0.0
no_referrals,0.0
high_risk_flags17,0.0
high_risk_flags15,0.0
high_risk_flags10,0.0
high_risk_flags13,0.0
high_risk_flags22,0.0
high_risk_flags23,0.0
high_risk_flags20,0.0
high_risk_flags21,0.0
high_risk_flags26,0.0
high_risk_flags27,0.0
high_risk_flags28,0.0
high_risk_flags29,0.0
high_risk_flags30,0.0
high_risk_flags31,0.0
high_risk_flags24,0.0
high_risk_flags25,0.0
high_risk_flags34,0.0
high_risk_flags35,0.0
high_risk_flags36,0.0
high_risk_flags37,0.0
high_risk_flags39,0.0
high_risk_flags40,0.0
high_risk_flags41,0.0
high_risk_flags42,0.0
high_risk_flags43,0.0
high_risk_flags44,0.0
high_risk_flags45,0.0
high_risk_flags46,0.0
high_risk_flags47,0.0
high_risk_flags48,0.0
high_risk_flags32,0.0
high_risk_flags33,0.0
high_risk_flags50,0.0
high_risk_flags49,0.0
high_risk_flags51,0.0
high_risk_flags52,0.0
high_risk_flags55,0.0
high_risk_flags56,0.0
high_risk_flags53,0.0
high_risk_flags54,0.0
high_risk_flags59,0.0
high_risk_flags60,0.0
high_risk_flags61,0.0
high_risk_flags62,0.0
high_risk_flags63,0.0
high_risk_flags64,0.0
high_risk_flags57,0.0
high_risk_flags58,0.0
high_risk_flags66,0.0
high_risk_flags65,0.0
high_risk_flags67,0.0
high_risk_flags68,0.0
high_risk_flags71,0.0
high_risk_flags72,0.0
high_risk_flags69,0.0
high_risk_flags70,0.0
high_risk_flags74,0.0
high_risk_flags73,0.0
high_risk_flags76,0.0
high_risk_flags75,0.0
low_logins_csat,0.0
high_charge_increase,0.0
low_total_revenue,0.0
low_usage_csat,0.0
